word,count
آسیستان,4
آسیمه,30
آسیمه‌سر,10
آش,7610
آشامیدن,824
آشامیدنی,3259
آشپز,1007
آشپزخانه,2706
آشپزی,4524
آشتی,5736
آشتی‌خواه,4
آشغال,395
آشفتگی,4969
آشفتن,23
آشفته,3594
آشکار,31394
آشکارا,7402
آشکارایی,5
آشکوب,25
آشنا,35609
آشنایان,1406
آشنایی,20087
آشوب,5252
آشوب‌طلب,17
آشوبگر,168
آشوبگری,50
آشیان,207
آشیانه,1662
آغا,1154
آغاز,392414
آغازین,13396
آغشتن,49
آغشته,2441
آغل,140
آغوش,3659
آفاق,620
آفت,1888
آفتاب,9379
آفتاب‌پرست,495
آفتاب‌گردان,73
آفتابه,124
آفریدگار,986
آفریدن,609
آفریده,7035
آفرین,2240
آفرینش,9920
آفرینشگر,118
آفریننده,1277
آقا,14550
آقازاده,345
آقایی,497
آکادمیک,5286
آک,94
آکله,2
آکندگی,1
آکندن,3
آکنده,1095
آکنه,822
آگاه,20098
آگاه‌کردن,33
آگاهانیدن,36
آگاهی,26809
آگهی,3956
آل,19580
آلات,6318
آلاچیق,289
آلاله,480
آلامد,21
آلایش,525
آلبوم,128269
آلت,9684
آلت‌دست,2
آلودگی,14125
آلودن,209
آلوده,15009
آلونک,101
آله,445
آماتور,3160
آماج,1198
آمادگی,11616
آماده,40824
آماده‌سازی,7412
آمار,91485
آماربرداری,43
آمارگر,24
آمارگیری,1966
آماس,327
آماه,3
آمبولانس,1032
آمپول,535
آمدوشد,224
آمر,329
آمرانه,219
آمرزش,849
آمرزیدگی,17
آمرزیده,244
آموت,30
آموزش,114644
آموزش‌وپرورش,94
آموزشگاه,3364
آموزشگر,58
آموزشی,50566
آموزگار,3389
آموزنده,483
آمیختگی,1216
آمیختن,994
آمیخته,5939
آمیزش,11211
آمیزشی,884
آمیزه,579
آمیغ,8
آن,3176973
آنارشی,273
آنتریک,2
آنتیک,156
آنفلوآنزا,532
آنقدر,8342
آنگاه,17408
آنی,4274
آوا,1028
آوار,1918
آوارگی,871
آواره,2928
آواز,18426
آوازخوان,568
آوازه,2607
آوخ,17
آوردگاه,224
آوردن,36512
آوند,410
آونگ,739
آویختگی,68
آویختن,520
آویخته,2914
آویز,905
آویزان,4810
آویزش,12
آویزه,50
آه,561
آهار,213
آهسته,5339
آهسته‌آهسته,29
آهن,22511
آهنگ,57216
آهنگر,845
آهنگین,882
آهو,2092
آیت,3933
آیس,225
آینده,52406
آینه,8671
آیه,26993
آیین,31925
آیین‌نامه,2670
آیینه,1646
ائتلاف,15923
اب,3128
ابا,586
ابابیل,81
اباحت,2
اباطیل,31
ابتدا,138217
ابتدایی,30865
ابتذال,382
ابتر,123
ابتکار,7261
ابتکاری,1828
ابتلاء,2473
ابتهاج,856
ابتیاع,117
ابد,3207
ابداعی,1735
ابدال,354
ابدی,2880
ابدیت,468
ابر,9195
ابراز,24591
ابرام,209
ابرص,7
ابریشم,6590
ابریق,12
ابزار,33149
ابصار,2
ابطال,3482
ابلق,170
ابله,150
ابلهانه,75
ابلهی,40
ابلیس,694
ابن,54386
ابواب,1174
ابوی,17
ابهام,5544
ابهام‌آمیز,209
ابهت,387
ابیض,246
اپیدمی,888
اتابک,3860
اتاق,36752
اتاقک,2503
اتباع,6495
اتحاد,45611
اتحادیه,55363
اتر,950
اتراق,662
اتساع,582
اتصال,34437
اتفاق,80146
اتکا,3405
اتلاف,3471
اتمام,26188
اتوبان,2110
اتوماتیک,5026
اتومبیل,8965
اتهام,24749
اتیکت,51
اثاث,208
اثاثه,52
اثاثیه,725
اثبات,36910
اثباتی,1239
اثر,356171
اثربخش,435
اثرپذیر,11
اثم,2
اثنا,602
اثیر,998
اثیم,22
اجابت,1350
اجاره,9496
اجاره‌نشین,109
اجازت,26
اجازه,89474
اجاق,1485
اجامر,25
اجانب,261
اجبار,5977
اجباری,21042
اجتماع,13251
اجتماعی,131492
اجتناب,11886
اجتهاد,4621
اجحاف,82
اجداد,5523
اجر,765
اجرا,129739
اجرت,182
اجل,354
اجلاس,9416
اجمال,294
اجناس,2638
اجنبی,300
اجوف,81
اجیر,926
احاطه,10063
احاله,156
احتراز,656
احتراق,3705
احترام,28762
احتساب,4159
احتشام,165
احتضار,136
احتقان,230
احتمال,73160
احتمالا,2221
احتیاج,6818
احتیاط,4354
احد,925
احداث,34175
احراز,6042
احساس,43183
احساساتی,1058
احسان,3153
احسنت,29
احشام,1043
احصا,29
احصائیه,185
احضار,7878
احضاریه,212
احفاد,342
احلام,40
احمر,1472
احمق,649
احمقانه,646
احمقی,44
احوال,7299
احول,15
احیا,8890
اخاذی,635
اخبار,19904
اخت,116
اختتام,106
اختر,1038
اختراع,28630
اخترشمار,2
اخترشناس,720
اخترشناسی,3851
اختصار,13896
اختصاص,52012
اختفا,316
اختلاج,8
اختلاس,1821
اختلاس‌کننده,18
اختلاط,2488
اختلاف,65799
اختلال,28485
اختناق,414
اخته,746
اختیار,83709
اخذ,20784
اخراج,25599
اخروی,478
اخری,9
اخضر,92
اخطار,2715
اخطاریه,55
اخگر,124
اخلاص,649
اخلاف,1068
اخلاق,14116
اخلال,2908
اخلالگر,92
اخم,77
اخمو,23
اخوت,421
اخوی,122
اخیر,52326
ادات,325
اداره,89020
اداری,28938
ادامه,228146
ادب,10566
ادبار,32
ادبیات,61629
ادخال,32
ادرار,6175
ادرارآور,74
ادراک,4847
ادعا,50567
ادوات,3464
ادهم,247
ادیب,4386
ادیم,37
اذعان,6959
اذن,1013
اذهان,2853
اذیت,8415
ار,5493
ارائه,175936
ارابه,1716
اراجیف,47
ارادت,1943
ارادتمند,78
اراده,7240
اراذل,813
ارباب,7962
ارتباط,122504
ارتجاع,827
ارتجاعی,1017
ارتجال,13
ارتجالاً,3
ارتحال,186
ارتداد,1219
ارتزاق,186
ارتش,140945
ارتشا,51
ارتشی,4441
ارتعاش,1444
ارتفاع,94386
ارتقا,12409
ارتکاب,4242
ارث,10886
ارج,2413
ارجاع,9206
ارجح,840
ارجمندی,333
ارحام,102
اردنانس,11
اردو,6827
اردوگاه,10657
ارز,8667
ارزاق,249
ارزان,7605
ارزش,52346
ارزشمند,10918
ارزق,15
ارزنده,1514
ارزیاب,257
ارزیابی,32581
ارسال,50905
ارشاد,9775
ارشد,42560
ارض,767
ارضا,1254
ارعاب,1366
ارغنون,257
ارفاق,76
ارکان,4241
ارگ,5166
ارگان,4557
ارگانیسم,1831
ارم,1083
ارمغان,7977
اروند,854
اریب,550
اریکه,386
ازار,26
ازاله,61
ازجهت,2
ازخودراضی,7
ازخودگذشتگی,112
ازخودگذشته,9
ازدحام,1932
ازدست‌رفته,290
ازدواج,120472
ازدیاد,2593
ازگیل,211
ازل,1777
ازلی,2371
ازنو,258
ازهم‌پاشیدگی,241
اژدها,2994
اسارت,12795
اساس,280899
اساساً,12207
اساسی,86254
اسب,24543
اسباب,5094
اسباط,209
اسپرز,1365
اسپرم,3069
اسپرماتوزوئید,13
استاد,61920
استادانه,1018
استادی,6447
استاندار,5819
استاندارد,63277
استانداری,3854
استبداد,4499
استتار,1017
استثمار,1762
استثنا,3045
استجابت,124
استحاله,1753
استحصال,946
استحقاق,389
استحکام,13509
استحکامات,4780
استحمام,641
استخر,5825
استخراج,20266
استخفاف,19
استخلاص,120
استخوان,19349
استخوان‌بندی,428
استدعا,168
استدلال,30140
استر,4220
استراحت,9359
استراحتگاه,598
استراق,354
استرداد,1891
استشمام,419
استشهاد,254
استصواب,15
استطاعت,295
استظهار,26
استعاره,1366
استعاری,704
استعانت,88
استعداد,10473
استعفا,18132
استعلام,1142
استعمار,6474
استعمارطلبی,7
استعمال,5057
استغاثه,98
استغفار,319
استغنا,27
استفاده,927297
استفراغ,1663
استفسار,66
استفهام,94
استقامت,2601
استقبال,30372
استقرا,424
استقرار,21926
استقراض,1038
استقلال,80552
استکبار,405
استماع,956
استمالت,81
استمداد,655
استمرار,2237
استملاک,17
استمنا,234
استمهال,14
استناد,19333
استنباط,4570
استنتاج,2654
استنساخ,519
استنشاق,1214
استنطاق,159
استنکاف,503
استوار,15509
استواری,1992
استوانه,5005
استهزا,241
استیصال,237
استیضاح,7185
استیل,3566
استیلا,680
استیناف,1255
اسد,6189
اسرارآمیز,1424
اسراف,532
اسطقس,4
اسطوره,5954
اسف,225
اسفل,48
اسفل‌السافلین,8
اسفنج,704
اسفند,77340
اسقاط,170
اسقف,5151
اسکان,9829
اسکلت,4248
اسکله,1856
اسکناس,4216
اسلاف,556
اسلحه,15339
اسلحه‌خانه,39
اسلوب,1656
اسم,33079
اسمر,38
اسمی,5968
اسود,353
اسوه,68
اسهال,1888
اسیر,16104
اسیری,792
اشاره,410248
اشاره‌وار,12
اشاعه,2786
اشباع,5289
اشتباه,49921
اشتر,867
اشتراک,15142
اشتراکی,3306
اشتعال,1851
اشتغال,16365
اشتهاآور,85
اشتهار,1064
اشتیاق,4185
اشخاص,13887
اشراف,12326
اشراق,1037
اشعار,35186
اشغال,45197
اشغالگر,1173
اشکال,28405
اشکال‌تراشی,20
اشک,3339
اشکبار,63
اشکوب,745
اشکوبه,125
اشل,120
اشمئزاز,9
اصابت,8933
اصالت,8589
اصحاب,7065
اصدار,15
اصرار,16101
اصطبل,607
اصطکاک,2984
اصطلاح,57222
اصغا,3
اصل,75292
اصلاً,9567
اصلاح,43367
اصلی,356423
اصم,56
اصول,49011
اصیل,9786
اضافه,72143
اضافی,18208
اضرار,63
اضطراب,6180
اضطرار,499
اضطراری,6617
اضمحلال,1592
اطاعت,11532
اطاق,43
اطاقک,24
اطاله,77
اطراف,83159
اطعام,506
اطفا,118
اطفال,3692
اطلاع,25981
اطلاعات,158566
اطلاعیه,2931
اطلاق,25334
اطلس,6000
اطمینان,26093
اطناب,127
اطوار,123
اظهار,46328
اعاده,1491
اعاشه,55
اعانت,123
اعتبار,26621
اعتدال,2644
اعتذار,3
اعتراض,51395
اعتراف,10812
اعتزال,69
اعتصام,127
اعتقاد,52846
اعتکاف,403
اعتلا,260
اعتماد,28635
اعتنا,1215
اعتیاد,4413
اعجاب,283
اعجاز,908
اعجوبه,203
اعراض,317
اعراف,51
اعزاز,97
اعزام,25588
اعسار,21
اعضا,12727
اعظام,44
اعقاب,1280
اعلا,781
اعلام,329411
اعلام‌خطر,4
اعلامیه,15403
اعمال,69160
اعمی,47
اعوجاج,1011
اعیان,3484
اغبر,14
اغتشاش,2133
اغراق,1914
اغراق‌آمیز,1335
اغفال,449
اغفالگر,2
اغلب,118093
اغما,196
اغماض,718
اغوا,717
اغواگر,273
اغیار,57
افاده,373
افاقه,13
افت,9290
افتادگی,1523
افتاده,16925
افتتاح,33841
افتخار,24645
افترا,801
افتراق,885
افتضاح,211
افراخته,93
افراز,964
افراشته,610
افراط,2395
افروختن,483
افروخته,484
افزار,4336
افزایش,234236
افزون,17363
افزونی,250
افساد,144
افسار,379
افسارگسیخته,149
افسانه,10345
افسانه‌پرداز,38
افسانه‌گو,4
افسر,13923
افسردگی,8061
افسرده,1582
افسوس,1072
افسون,829
افسونگر,233
افسونگری,120
افشا,4639
افشاگری,1613
افشان,1148
افشاندن,93
افشره,88
افضل,956
افعی,382
افغان,8490
افق,5122
افکار,19141
افگار,9
افلاس,32
افلیج,14
افندی,2664
افول,5519
افیون,290
افیونی,260
اقارب,121
اقاله,36
اقامت,30876
اقامتگاه,2906
اقبال,6039
اقتباس,11122
اقتدا,453
اقتدار,10543
اقتراح,13
اقتصاد,53757
اقتضا,371
اقدام,94930
اقرار,2346
اقران,141
اقرب,123
اقربا,8
اقسام,2217
اقصا,162
اقطار,86
اقل,785
اقلاً,271
اقلیت,11726
اقلیم,9080
اقناع,997
اقوام,30310
اقیانوس,18470
اکابر,709
اکتساب,506
اکتفا,2321
اکثر,67372
اکثریت,34595
اکرام,406
اکراه,1939
اکسید,12048
اکسیر,442
اکمال,227
اکناف,319
اکنون,68513
اکول,133
اکید,820
اکیداً,741
اگر,261057
اگرچه,75735
اگزما,186
الاغ,980
الان,3859
الباقی,366
البته,106525
التباس,11
التذاذ,16
التصاق,180
التفات,244
التقا,4
التماس,1184
التهاب,6765
التیام,1175
الحاح,19
الحاد,478
الحاق,7671
الحاقیه,53
الحال,73
الزام,1931
الزامی,3782
الغا,125
الف,4660
الفت,421
القا,3392
القاح,24
القصه,32
الک,1041
الکتریسیته,3602
الکتریک,3537
الکن,43
الکی,215
الگو,6988
الله,18221
الم,253
المناک,12
النگو,51
الواط,24
الواطی,14
الوان,359
الوف,98
الوهیت,1618
الهام,24582
الهه,5020
الهی,20900
الیم,42
ام,16966
اما,849427
امارت,5658
اماکن,10014
اماله,14
امام,68091
امامت,19081
امان,9826
امانت,2948
امانت‌دار,179
امپراتور,32926
امپراتوری,75392
امپریالیست,151
امپریالیسم,2162
امت,4113
امتثال,65
امتحان,6798
امتداد,25189
امتزاج,426
امتلا,13
امتناع,8265
امتنان,77
امتیاز,40923
امحا,77
امداد,3070
امر,84423
امرار,2635
امرارمعاش,90
امرد,77
امرود,31
امروزی,36889
امریه,126
امساک,145
امضا,33811
امعان,11
امعان‌نظر,2
امکان,93964
امکان‌پذیر,15596
امل,479
املا,315
املاک,13588
امن,9654
امنیت,75015
امنیه,275
اموال,16711
امی,2147
امید,21573
امیدوار,6597
امیدواری,1824
امیر,36988
امیرزاده,278
امیری,2794
امین,12301
انابت,12
انابه,14
اناث,151
انار,2499
انانیت,17
انبار,10209
انباره,324
انباز,27
انبازی,43
انباشتگی,413
انباشتن,236
انباشته,3725
انبان,61
انبانه,2
انبساط,4050
انبوه,9937
انتباه,5
انتحار,134
انتخاب,237194
انتزاع,1615
انتزاعی,4565
انتساب,5105
انتشار,119994
انتصاب,9815
انتظار,34468
انتظام,824
انتفاع,263
انتقاد,45272
انتقال,107504
انتقام,14363
انتقام‌جو,79
انتقام‌جویی,377
انتها,6321
انتهایی,5144
انثی,2
انجام,475386
انجذاب,11
انجم,25
انجماد,2414
انجمن,59504
انجیر,1876
انجین,232
انحا,106
انحراف,8088
انحصار,6147
انحطاط,2454
انحلال,11813
انحنا,700
انحنادار,71
انخفاض,2
اندازه,77272
اندازه‌گیری,34744
اندام,9135
اندر,3812
اندرز,1470
اندرزگو,78
اندرزگویی,21
اندروا,11
اندرون,708
اندرونی,1688
اندک,16878
اندک‌اندک,389
اندکی,39285
اندوختن,215
اندوخته,1108
اندودن,14
اندوه,3254
اندوهبار,72
اندوهگین,542
اندوهگینی,23
اندوهناک,226
اندیشمند,1164
اندیشناک,74
اندیشه,19516
انذار,387
انرژی,98552
انرژی‌زا,100
انزجار,1163
انزجارآور,16
انزوا,2358
انس,1414
انسان,112456
انسانیت,2164
انسداد,3487
انشا,598
انشعاب,4528
انشقاق,660
انصاف,1604
انصراف,5917
انضباط,1986
انضمام,2426
انطباق,4409
انعام,553
انعطاف,3136
انعقاد,6173
انعکاس,5882
انفجار,19168
انفراد,11
انفرادی,9435
انفصال,732
انفعال,1077
انفکاک,93
انفیه,39
انقباض,5261
انقراض,8165
انقضا,180
انقطاع,569
انقلاب,115221
انقلابی,24903
انقیاد,1492
انکار,12344
انکسار,320
انگ,675
انگار,2450
انگاره,480
انگاشت,230
انگبین,75
انگشت,9875
انگشت‌شمار,342
انگشت‌نما,143
انگشتر,1040
انگشتری,644
انگل,3064
انگم,33
انگور,4870
انگیزش,1128
انگیزه,10044
انموذج,5
انواع,99098
انهدام,3238
انهزام,2
انیت,19
انیس,645
اوان,1338
اوایل,85733
اوباش,2191
اوج,37682
اوج‌گیری,1864
اوراد,218
اورنگ,979
اوقات,29466
اول,261333
اولاد,2629
اولویت,10026
اولی,8640
اولین,362623
اوهام,266
اهالی,48643
اهانت,3395
اهانت‌آمیز,119
اهانت‌بار,4
اهتزاز,922
اهتمام,3731
اهدا,22186
اهریمن,5696
اهل,385085
اهل‌بیت,272
اهلی,3323
اهلیت,155
اهمال,579
اهمیت,76769
اهورامزدا,6702
اهورایی,553
ای,233256
ایا,1294
ایادی,930
ایام,12825
ایثار,856
ایجابی,189
ایجاد,353696
ایجاز,518
ایده,25703
ایذاء,67
ایراد,9420
ایرادگیر,5
ایرادگیری,28
ایرانی,190786
ایز,118
ایزد,8671
ایزدی,3378
ایست,6228
ایستا,3290
ایستادگی,4379
ایستادن,1836
ایستاده,6604
ایستایی,1097
ایستگاه,36826
ایضاً,141
ایضاح,46
ایفا,30175
ایفاد,121
ایقاع,35
ایقان,175
ایکاش,4
ایل,19474
ایلچی,464
ایلغار,17
ایما,136
ایمان,17072
ایمن,6289
ایمنی,20605
اینت,13
اینجا,39034
اینک,6507
اینگونه,13688
ایوان,15879
ایهام,451
بئر,190
باابهت,2
بااحتیاط,12
بااحساس,47
باادب,22
باارزش,1537
بااعتبار,36
باانضباط,1
بااهمیت,523
باایمان,162
بااین‌که,225
بابا,5376
بابابزرگ,13
باباشمل,52
بابت,11361
باب,42853
بابرکت,6
بابل,18098
بابونه,216
با,5732507
باتجربه,1278
باتدبیر,80
باتری,7694
باتقوا,62
باتلاق,942
باتون,238
باج,2846
باجگاه,19
باجناق,166
باجه,269
باجی,252
باحال,63
باحجاب,33
باحرارت,1
باحوصله,16
باحیا,9
باخبر,3815
باخت,6958
باختر,6207
باختن,854
باخته,1022
باخدا,4
باخود,205
بادآورد,15
بادآور,37
بادامه,148
بادبادک,306
بادبان,675
بادپا,43
بادسنج,15
بادفر,6
بادگیر,1318
بادمجان,250
بادوام,625
باده,477
باده‌گساری,153
باده‌نوشی,25
باد,18519
بادی,7238
بادیه,644
بادیه‌نشین,367
باذکاوت,3
باذل,8
باذوق,50
بارآور,17
باران,13086
بارانداز,310
بارانی,3685
باربر,1506
بار,350916
باردار,8109
بارداری,10028
باردان,3
بارد,233
بارز,8124
بارش,8970
بارقه,160
بارکش,219
بارگاه,2530
بارگی,43
بارم,55
بارندگی,7243
بارو,1278
بارور,2184
بارورسازی,257
باروری,5373
بارها,30002
باره,18258
باری,10201
باریدن,488
باریک‌بین,26
باریک‌بینی,18
باریک,10349
باریکه,1858
بازآفرینی,1622
بازآیی,9
بازار,90357
بازارچه,1641
بازارگان,7
بازاری,2563
بازبین,147
بازبینی,5198
بازپرس,1170
بازپرسی,757
بازپروری,377
بازپسین,240
بازتاب,12985
بازجست,14
بازجو,619
بازجویی,6443
بازخواست,1054
بازدارنده,1678
بازداشت,45596
بازداشتگاه,2720
بازده,6176
بازدهی,3191
بازدید,24511
بازرس,3117
بازرسی,7918
بازرگان,6689
بازرگانی,18926
بازسازی,52257
بازشناخت,131
بازگرداندن,5828
بازگشایی,6329
بازگشت,88460
بازگفت,135
بازگو,6639
بازگویی,1304
بازماندن,128
بازمانده,7031
بازنده,2203
بازنشستگی,7397
بازنشسته,11906
بازنگری,7208
باز,107724
بازو,3512
بازوبند,1201
بازیار,14
بازیافت,5063
بازیچه,493
بازیگر,44023
بازیگوشی,178
بازی,487431
باژ,29
باژگونه,23
باستان,45097
باستان‌شناس,1883
باستان‌شناسی,10876
باستانی,43913
باسعادت,4
باسکول,73
باسمه,69
باسمه‌چی,23
باسن,1081
باسواد,1823
باسیل,657
باشخصیت,14
باشرافت,13
باشعور,14
باشکوه,3880
باشگاه,98871
باشنده,403
باشهامت,8
باشی,2350
باصرفه,55
باصره,24
باصفا,200
باصلابت,18
باطراوت,53
باطری,157
باطلاق,2
باطل,6748
باطل‌سازی,8
باطل‌کننده,34
باطله,584
باطن,1679
باعاطفه,2
باعث,269571
باعرضه,54
باعزم,9
باعظمت,98
باغبان,715
باغبانی,1387
باغ,33405
باغچه,1221
باغستان,379
باغیرت,33
باغی,4377
بافت,33313
بافت‌شناسی,369
بافتن,816
بافتنی,200
بافته,5126
بافراست,14
بافرهنگ,135
بافضیلت,6
بافندگی,1498
بافنده,1006
بافهم,2
باقدرت,147
باقلی,17
باقی,89932
باک,1250
باکتری,8213
باکره,1619
باکفایت,157
باکیاست,3
باگذشت,172
بالا,146863
بالابان,204
بالابر,689
بالابلند,20
بالابود,2
بالاپوش,279
بالاجبار,317
بالاخره,14195
بالاخص,1088
بالادست,1578
بالار,19
بالاستقلال,10
بالان,131
بالانس,452
بالانشین,20
بالایی,40313
بالبداهه,39
بال,11977
بالت,56
بالذات,180
بالش,629
بالشت,35
بالصراحه,3
بالطبع,531
بالعکس,1279
بالغ,27535
بالفرض,18
بالفطره,106
بالفعل,642
بالقوه,9973
بالکن,1085
بالندگی,629
بالنده,127
بالنگ,12
بالیدن,128
بالین,1211
بالینی,10337
بامتانت,14
بامحبت,7
بامدادان,109
بامداد,7370
بامروت,6
بامزه,340
بام,7783
بامعرفت,12
بامعلومات,2
بامهارت,31
بامهر,2
بانداژ,95
باندبازی,7
باند,36736
بانزاکت,5
بانشاط,63
بانفوذ,2279
بانک,43019
بانکی,8256
بانگ,1316
بانمک,46
بانو,4094
بانی,5574
باوجوداین,99
باوجود,2730
باور,64747
باورداشت,36
باورکردنی,75
باورمند,933
باوقار,105
باهر,110
باه,25
باهم,6325
باهمت,10
باهنر,1059
باهوش,2882
باهیبت,3
بایا,31
بایر,1476
بایستن,2
بایسته,437
بایع,30
بایکوت,990
بایگان,80
بایگانی,3574
باس,2167
ببو,17
بپا,332
بت,3237
بت‌پرست,498
بت‌پرستی,1008
بتکده,101
بتول,399
بتون,295
بتونی,1033
بته,932
بتیار,4
بث,298
بثور,1
بجا,3298
بچگانه,88
بچگی,904
بچه,10228
بچه‌باز,19
بچه‌بازی,56
بچه‌زا,1
بچه‌محل,9
بچه‌ننه,2
بحار,282
بحبوحه,1069
بحت,17
بحث‌انگیز,689
بحث,53631
بحر,3478
بحران,25489
بحران‌زده,77
بحرانی,9468
بحری,547
بحیره,32
بخ,84
بخار,17197
بخاری,2269
بخت,3315
بختک,128
بخته,34
بختیار,4635
بختیاری,10397
بخرد,783
بخردی,15
بخس,28
بخشایش,525
بخشایشگر,108
بخشاینده,29
بخش‌بخش,72
بخش,373399
بخش‌پذیر,264
بخشش,4033
بخشندگی,732
بخشنده,656
بخشودگی,236
بخشودن,41
بخشوده,286
بخشیدن,8397
بخل,136
بخو,12
بخور,559
بخوردان,11
بخیل,70
بخیه,590
بداخلاق,227
بداخلاقی,107
بداخم,8
بداقبال,79
بداقبالی,105
بدانجام,10
بداندیش,101
بداندیشی,55
بداهت,77
بداهه‌سرایی,2
بدایت,125
بدایع,126
بدبختانه,95
بدبخت,289
بدبختی,1048
بدبده,3
بدبو,324
بدبویی,136
بدبیاری,29
بدبین,1471
بدبینی,1410
بدپسند,10
بدترکیب,59
بدجنس,274
بدجنسی,65
بدحال,114
بدحساب,4
بدخلق,67
بدخلقی,85
بدخو,12
بدخواه,410
بدخواهی,295
بدخویی,42
بدخیالی,4
بدخیم,1129
بددهانی,12
بدذات,115
بدذاتی,46
بدرای,4
بد,16318
بدرفتار,53
بدرفتاری,2291
بدرقه,831
بدر,4182
بدرود,1251
بدره,180
بدریخت,140
بدزبان,32
بدزبانی,22
بدست,78922
بدسرشت,14
بدسرشتی,6
بدسگال,17
بدسگالی,6
بدسلوکی,14
بدسلیقگی,8
بدسلیقه,19
بدسیما,9
بدشانس,159
بدشانسی,356
بدشکل,104
بدشگون,121
بدطالع,3
بدطعم,7
بدطینت,70
بدطینتی,22
بدعت,1832
بدعتگذار,7
بدعمل,12
بدعنق,12
بدعهد,3
بدعهدی,96
بدغذا,7
بدفرجام,45
بدفطرت,14
بدفعال,8
بدفکر,8
بدقدم,5
بدقلق,18
بدقول,3
بدکار,155
بدکردار,89
بدکنش,13
بدکیش,9
بدکیشی,30
بدگل,7
بدگمان,980
بدگمانی,973
بدگویی,1064
بدل,16156
بدلی,446
بدمزگی,2
بدمزه,34
بدمست,1
بدمستی,68
بدمنش,3
بدمنظر,16
بدمهر,38
بدنام,1911
بدنام‌سازی,1
بدنامی,1061
بدن,83572
بدنما,19
بدنهاد,52
بدنهادی,11
بدنه,18372
بدنیت,7
بدنی,12003
بدو,10240
بدون,200321
بدوی,2998
بدویت,90
بده‌وبستان,14
بدهی,5282
بدهیکل,7
بدی,7346
بدیع,3237
بدیل,1870
بدیمن,55
بدیمنی,97
بدین‌سبب,8
بدین‌طریق,51
بدیهی,4483
بذال,4
بذرافشان,16
بذرافشانی,23
بذر,3855
بذل,576
بذله,243
بذله‌گو,46
بذله‌گویی,162
برآشفتگی,148
برآشفتن,18
بر,1938211
برآمدگی,2140
برآمدن,1506
برآمده,4821
برآورد,24659
برآوردن,1212
برآورده,16765
برآیند,1469
برائت,900
برا,1331
برابر,341970
برابرسازی,132
برابرنهاد,43
برابری,15388
برات,673
برادر,63373
برادرانه,249
برادروار,17
برادری,2663
براز,48
برازندگی,75
برازنده,242
براساس,166421
براعت,30
برافراشتن,405
برافروختگی,98
برافروختن,345
برافروخته,559
برافکندن,53
براق,2432
بران,425
برانداز,250
براندازی,3578
برانشی,38
برانکار,102
برانگیختن,1947
برانگیخته,4388
برانگیزنده,175
