word,count,score
polls,20694349,544471
tower,20686918,798472
yours,20672809,636749
jason,20616747,746760
shell,20599318,636145
solar,20423792,880729
catch,20400979,557158
doubt,20311261,543017
tasks,20273373,595309
const,20236664,769389
doors,20229491,602884
forth,20149609,607723
bruce,19999866,677401
split,19998411,723135
twice,19945569,749759
egypt,19926686,590956
shift,19811555,625244
simon,19757457,784154
marks,19747824,699451
loved,19719299,680128
birds,19693729,681338
saved,19635976,775320
shots,19611119,565214
moore,19585613,690948
treat,19442315,822167
piano,19419956,827134
risks,19205769,582176
ports,19171802,742628
teach,19079783,818813
rapid,19070672,751487
hairy,19060619,706956
dutch,19000979,491905
boots,18968708,551783
holds,18963546,628750
pulse,18893735,714541
metro,18738665,846349
strip,18711440,765891
pearl,18707334,870046
penis,18478169,862552
heads,18400524,814156
logos,18366230,540455
milfs,18358745,618008
honda,18261029,718400
bills,18248816,554072
opera,18225169,905369
asset,18178753,816425
blank,18150537,625675
humor,18085495,576080
lived,18050710,703391
tight,17981854,481873
meant,17832930,894934
plane,17799728,860453
meets,17760399,670857
tampa,17654589,534542
grace,17642126,836810
susan,17638870,645124
adams,17620255,566239
villa,17587586,585154
inner,17552078,799441
roman,17431193,824811
taste,17311343,816425
trips,17273017,765891
sides,17269191,710619
turns,17261850,749780
cache,17250923,663412
lease,17180592,795451
proud,17167504,578461
giant,17098874,808769
seats,17070818,816425
alarm,17059844,621898
usual,17044981,611961
angle,17016075,856437
vinyl,17009819,565026
worst,16975343,708258
honor,16787246,583145
eagle,16785232,688847
pants,16774383,791213
nurse,16772151,856034
quiet,16746894,693928
comic,16695850,550330
crown,16651038,654213
maker,16635947,789665
crack,16633701,550857
picks,16627992,579053
smoke,16567733,725745
craft,16528294,702486
apart,16507181,629365
blind,16485480,634731
coins,16449733,807001
gross,16440590,583211
epson,16344475,839289
actor,16282891,835469
finds,16280898,653321
fifth,16255266,453803
prize,16204739,714846
dirty,16101662,650317
wayne,16090093,731866
alive,16064787,846809
prove,16046788,707227
wings,16044458,631364
ridge,15993437,781198
modem,15984492,598275
larry,15900632,579748
skill,15835076,539420
moves,15789001,714992
throw,15751985,605439
trend,15747018,846339
rhode,15717565,761720
busty,15705827,500408
worse,15677739,814512
boats,15600762,779711
tells,15534490,722924
fiber,15530318,723809
graph,15526746,607423
talks,15484166,729736
bonds,15431252,648482
fraud,15378751,604553
roger,15353411,673425
crash,15302627,750381
inter,15269346,954842
grove,15189493,703211
spray,15148133,685615
roads,15093621,830812
faces,15050854,802998
cocks,15043799,486937
mayor,15030847,697431
yield,15022494,713815
hence,14992334,603074
radar,14982375,489621
lakes,14947463,835990
diary,14922472,722844
kings,14914273,637420
flags,14870655,635400
baker,14862470,762496
shock,14850388,555559
walls,14837851,568279
ebony,14831025,694396
drawn,14827380,691694
beast,14787561,871616
dodge,14768509,580752
pizza,14763787,503936
yards,14733347,701272
woods,14647735,460184
jokes,14622894,653436
twiki,14601448,423436
globe,14554904,685860
dicke,14514973,684924
kerry,14514771,519587
ghost,14490042,630051
pride,14428078,785214
keith,14391094,719230
linda,14380554,807468
chile,14372798,762924
maria,14347893,680484
brass,14298573,631743
plaza,14274314,445350
quest,14258533,672356
trans,14243681,899543
booty,14218854,420552
acres,14208905,943414
venue,14204074,537196
vital,14166642,740555
excel,14133468,513592
modes,14131325,769716
enemy,14084182,551815
wells,14073676,602006
opens,14070477,839289
lucky,14053901,398548
thick,14030556,562782
iraqi,13999381,603818
vista,13991160,777569
chips,13982676,607136
terry,13981773,634449
flood,13979267,425454
arena,13966572,834356
grown,13931521,613843
jerry,13908229,489099
smile,13893537,842896
lands,13891179,785896
armed,13866785,833636
laura,13801282,617703
tokyo,13793165,405900
nikon,13789510,570892
candy,13772033,625445
pills,13767091,567734
tiger,13763074,852089
folks,13760930,552924
balls,13683840,588987
boost,13675076,551783
icons,13649671,807001
moral,13643598,791648
keeps,13624468,542488
pound,13620117,568868
roses,13584758,780029
bread,13575360,806467
tough,13560922,536775
gonna,13542156,630105
chest,13516414,762326
billy,13515249,422841
craig,13480763,768168
solve,13452150,767059
nancy,13381057,540935
tones,13373535,925837
sight,13360499,653314
towns,13337599,698665
worry,13243591,421626
reads,13174104,922717
roles,13171507,914456
glory,13158826,586407
saudi,13123149,755057
fault,13112664,632688
karen,13067717,874895
jimmy,13030009,325634
rugby,12992179,415586
fluid,12943336,526882
barry,12921548,500512
devil,12869511,703391
grass,12868953,641389
marie,12862466,942139
kenya,12839981,737922
sized,12775596,724761
manga,12774174,542715
theft,12744763,522445
swing,12734467,631364
dated,12707511,729494
shoot,12695618,565214
elite,12673836,744496
poems,12662561,754059
robot,12656312,557525
winds,12628386,651037
gnome,12609820,746192
roots,12609370,673775
noble,12604679,788613
shore,12568485,848651
loves,12566621,767059
loose,12556710,737273
slots,12452126,631019
rocks,12427428,664120
genes,12396954,665523
horny,12363955,623355
hosts,12228736,565214
atlas,12221120,689197
feels,12212683,604290
ralph,12190683,677013
corps,12150135,692434
liver,12139363,796064
decor,12098868,798305
texts,12095723,600800
evans,12020970,858400
fails,12015364,763576
aging,12014007,653368
alice,11994061,922230
intro,11938092,862937
clerk,11923960,719011
mills,11910667,581241
jeans,11896655,838665
fonts,11884559,700949
favor,11867822,641414
sigma,11864409,739579
xhtml,11856704,453113
aside,11768649,938547
essay,11750312,701234
camps,11712039,655789
aaron,11698784,742451
trace,11697252,927374
packs,11683277,613968
spoke,11577917,712238
arrow,11563142,609344
rough,11557184,558557
weird,11556427,750844
holes,11529280,805895
blade,11527988,763711
meals,11515834,877811
robin,11423944,762727
strap,11414669,800806
crowd,11409218,571133
cloud,11337220,572059
valve,11325360,653796
knife,11297715,699564
shelf,11287023,672912
liked,11282738,714144
adopt,11272339,706442
fotos,11264350,533359
outer,11245167,842154
tales,11222332,950852
islam,11214742,809169
nodes,11208722,854946
seeds,11196921,517606
cited,11195944,799786
skype,11188286,582698
tired,11158233,871762
steam,11141309,898785
acute,11128841,828356
stood,11116275,581102
carol,11109404,814495
stack,11090579,700516
curve,11071177,651996
amber,11065507,804317
trunk,11020361,618878
waves,11006010,725293
camel,11005001,811577
lamps,11000656,685009
juice,10973425,648091
chase,10971945,834853
sauce,10968629,844396
beads,10825324,800725
flows,10797166,546868
fewer,10792786,510088
proxy,10773043,468299
lanka,10765788,570484
voted,10746027,701102
bikes,10740880,721839
gates,10734618,881262
slave,10692715,825237
lycos,10665969,621035
zdnet,10661625,683298
combo,10592758,412508
haven,10569212,755581
charm,10554644,661300
basin,10544774,815163
ranch,10539650,746530
drunk,10519219,547987
toner,10508427,931579
latex,10502825,791714
delhi,10491603,742227
alien,10490554,984613
broke,10460811,704318
nepal,10459583,860453
nylon,10410171,511977
discs,10404995,554171
rocky,10404321,532889
fleet,10364423,588250
bunch,10355431,474775
cents,10301064,861294
omega,10289113,806530
civic,10283668,328006
saver,10258158,867993
grill,10254124,569460
grain,10244623,830551
wanna,10232302,430001
seeks,10174194,473635
gains,10137566,824809
spots,10109662,565445
salon,10079006,871136
turbo,10058686,635690
thats,10034213,623392
aimed,10030370,849466
reset,10021033,765680
brush,10018684,550602
spare,10009522,907060
kodak,10005470,522727
skirt,9981485,737577
honey,9978043,707827
gauge,9952466,632585
faced,9938155,716067
sixth,9920054,600780
farms,9908537,695679
cheat,9903572,818813
sandy,9897487,691679
macro,9885853,762428
laugh,9822471,573979
pitch,9800556,591096
autos,9798008,802685
perry,9785838,547901
dozen,9776227,697647
teeth,9769437,485678
cloth,9764137,633407
stamp,9760468,705983
lotus,9759485,709184
cargo,9748668,744905
salem,9735569,877811
likes,9727733,801075
tapes,9719559,885278
zones,9719114,784578
races,9715279,943414
maple,9704551,775223
depot,9688338,740169
blend,9680982,703373
julie,9674906,677311
janet,9666108,822625
phpbb,9649545,192666
probe,9643801,732632
helen,9600641,632294
lopez,9593132,648827
debug,9581095,544358
chuck,9574825,292533
ebook,9558308,527135
bingo,9539002,650381
minds,9529696,698914
xanax,9510471,407821
sunny,9497382,457406
leeds,9491065,652033
cedar,9484993,856483
blair,9463587,787742
hopes,9462715,740321
mason,9461838,819069
burns,9460104,649570
pumps,9456489,400819
mario,9447559,850234
utils,9440361,732447
pairs,9432115,838418
chose,9409845,776675
blast,9387171,744388
tommy,9327874,447721
brake,9321885,762496
congo,9310976,507384
olive,9298184,788631
cyber,9289150,639446
clone,9284578,838629
dicks,9280692,594710
relay,9275052,841403
tears,9274206,993608
oasis,9270498,762132
angry,9267505,677748
lover,9234545,772801
rolls,9220414,652801
malta,9212218,600116
daddy,9211193,352648
ferry,9208954,515815
omaha,9193841,548660
loads,9175948,788056
motel,9170238,803593
rally,9155530,579748
dying,9123557,550160
stuck,9120620,550753
stops,9118589,565445
vocal,9082826,667098
organ,9077449,807288
lemon,9066930,815782
toxic,9065369,635674
bench,8992211,658265
rider,8987802,716361
butts,8968856,460198
bobby,8964342,265151
sheep,8962638,570571
wines,8939582,828182
salad,8923706,618306
paste,8913055,885278
katie,8878399,878536
relax,8856944,813496
sword,8835685,637367
sells,8827377,567523
coral,8818272,814495
pixel,8813200,670251
float,8808655,724273
colin,8807299,769987
paths,8806073,692245
acids,8793940,782099
dairy,8781961,722844
admit,8780656,743212
fancy,8777135,577702
samoa,8775146,651479
squad,8744772,567738
wages,8737438,760344
males,8708016,877811
chaos,8690268,742948
wheat,8685589,748089
bases,8663363,716215
unity,8657709,634379
bride,8650665,771552
begun,8636352,627438
socks,8632058,486937
essex,8617835,445399
fever,8582665,505391
drums,8560748,593659
rover,8537021,638374
flame,8527495,743137
tanks,8526525,762899
spell,8506049,636376
emily,8497262,711665
annex,8465905,669476
sudan,8447525,729634
sluts,8430809,539434
hints,8393784,756067
wired,8371548,750844
elvis,8369987,790322
argue,8353605,809768
arise,8337093,1031220
jamie,8330541,775007
bitch,8302447,577434
chess,8293823,606925
oscar,8285553,851509
menus,8283476,761211
canal,8278196,635152
amino,8273641,840641
herbs,8271850,734092
lying,8260845,600077
drill,8248787,589133
bryan,8247764,668102
hobby,8237250,333773
tries,8236889,958693
trick,8208473,671343
myers,8188797,732849
drops,8187657,671737
wider,8186703,750844
screw,8177263,749969
blame,8170544,761561
fifty,8133138,425391
uncle,8127694,747044
jacob,8114034,568127
randy,8110369,697421
brick,8094369,571133
naval,8091649,559731
donna,8058734,649778
cabin,8052267,748929
eddie,8038567,539178
fired,8031937,753128
perth,8020600,731714
syria,8013914,809775
klein,8009252,797224
tires,8007166,958693
retro,8000179,763989
anger,7991036,899193
suits,7986526,598020
glenn,7963817,628509
handy,7936655,588860
crops,7931319,692434
guild,7923630,554952
tribe,7890695,842443
batch,7835050,612349
alter,7831337,956594
ghana,7826979,528977
edges,7826115,582443
twins,7815027,721928
amend,7806844,824043
chick,7771502,407381
thong,7747699,626200
medal,7747036,790880
walks,7744070,608818
sucks,7743126,395352
booth,7723310,448964
indie,7722085,706768
bones,7717501,825627
breed,7716901,578539
polar,7715471,778141
msgid,7711057,596161
carey,7679924,812183
danny,7664864,520238
patio,7627536,814945
lloyd,7624316,428897
beans,7607524,883805
ellis,7607078,760536
snake,7606395,869153
julia,7556335,643584
berry,7551906,534239
ought,7523238,536775
fixes,7513516,675179
sends,7512707,685196
mazda,7509120,408940
timer,7488669,869612
tyler,7474964,768876
verse,7469512,640065
highs,7468394,497913
ellen,7450956,563672
racks,7436380,722298
nasty,7434847,762570
tumor,7430480,662859
watts,7423674,589253
forty,7415064,579311
tubes,7413309,721853
floyd,7401451,465664
queue,7398569,345514
skins,7370612,572583
exams,7364984,755687
welsh,7346867,670628
belly,7346354,491483
haiti,7332685,644964
elder,7299470,657775
sonic,7298920,807001
thumb,7284386,439739
twist,7240854,554338
ranks,7222499,784681
debut,7220643,634922
volvo,7162635,333963
penny,7162062,538308
ivory,7146685,609942
remix,7132676,726514
alias,7132147,726809
newer,7122879,640911
spice,7120274,800169
ascii,7108409,697589
donor,7096675,599033
trash,7092806,800575
manor,7084688,824811
diane,7081367,934696
disco,7067687,723921
endif,7063258,743535
minus,7025364,692569
milan,6999311,805318
shade,6996835,814156
digit,6991045,497761
lions,6980244,836221
pools,6977605,544471
lyric,6970278,650040
grave,6929008,761389
howto,6907401,428256
devon,6896016,713291
saves,6892635,690810
lobby,6887477,399578
punch,6872844,488437
gotta,6870320,617916
karma,6862407,528010
betty,6858121,512457
lucas,6855976,717168
mardi,6842238,764994
shake,6839319,770185
holly,6834032,413009
silly,6833654,539091
mercy,6831149,666615
fence,6796605,571219
diana,6795021,673041
shame,6785296,812006
fatal,6779744,554523
flesh,6768724,672912
jesse,6744751,443147
qatar,6695603,566206
sheer,6684477,678901
witch,6671560,556726
cohen,6665722,772824
puppy,6662287,187228
kathy,6661457,532700
smell,6642666,649883
satin,6620674,915373
promo,6616863,498146
tunes,6610108,834252
lucia,6571033,738740
nerve,6567418,636214
renew,6561081,640911
locks,6536771,621364
euros,6533754,858194
rebel,6527810,628456
hired,6526426,784983
hindu,6505867,591900
kills,6484339,539420
slope,6469975,806126
nails,6463889,894399
whats,6462263,657875
rides,6461201,887802
rehab,6460331,790579
merit,6450895,869612
disks,6445126,489503
condo,6444848,527057
fairy,6435300,675101
shaft,6431372,660159
casio,6423721,867339
kitty,6414935,429163
drain,6411642,850224
monte,6411384,836756
fires,6407259,840059
panic,6396440,762591
leone,6393163,733422
onion,6384730,530353
beats,6367861,871616
merry,6367037,561408
scuba,6366349,637932
verde,6352373,553134
dried,6331606,716361
derby,6319608,618749
annie,6267924,850186
derek,6266654,563887
steal,6257493,950852
fears,6244239,874974
tuner,6238319,839994
alike,6220739,857562
sagem,6195840,808221
scout,6176157,679964
dealt,6174968,863921
bucks,6165133,450543
badge,6145138,694121
wrist,6143580,731521
heath,6139151,713606
lexus,6134590,657991
realm,6122762,883553
jenny,6118544,479506
yemen,6111610,551815
buses,6101027,566452
rouge,6084449,751590
yeast,6083904,856635
kenny,6065528,509994
yukon,6061476,496254
singh,6049797,665503
brook,6044943,442663
wives,6031432,690378
xerox,6022102,620891
sorts,6005834,673775
vsnet,6005064,785873
papua,6002552,374946
armor,6001844,657221
viral,5969493,762337
pipes,5966191,694962
laden,5964620,876110
aruba,5964318,538467
merge,5961585,586035
edgar,5959034,816113
dubai,5952494,638807
allan,5945293,529945
sperm,5944531,761492
filme,5943984,708222
craps,5943974,750612
frost,5940685,710542
sally,5933047,574006
yacht,5932756,597368
tracy,5931717,705929
whale,5928569,727115
shark,5904454,685713
grows,5899321,617694
cliff,5898886,469414
tract,5897046,665719
shine,5881862,862321
wendy,5873301,588448
diffs,5870429,485731
ozone,5865280,613137
pasta,5855460,623623
serum,5854942,770804
swift,5850031,591105
inbox,5845223,597847
focal,5844761,674079
samba,5838327,536920
wound,5820050,534498
belle,5820002,451273
cindy,5809307,590530
lined,5802278,841195
boxed,5778226,583409
cubic,5774261,431576
spies,5756937,694962
elect,5748899,656690
bunny,5730050,341156
chevy,5729809,505480
tions,5726510,857195
flyer,5718564,650242
baths,5707960,678583
emacs,5697594,848591
climb,5697476,570198
sparc,5686425,750612
dover,5683356,722884
token,5672353,794935
kinda,5660928,713580
dylan,5656291,654665
belts,5651790,778115
burke,5646090,612733
clara,5633877,644745
flush,5625285,489422
hayes,5621719,769856
moses,5615802,685206
johns,5610302,587454
jewel,5603871,440616
teddy,5602073,541776
dryer,5592001,563558
ruled,5589851,735940
funky,5587279,363271
joins,5578553,711845
scary,5571680,721969
mpegs,5569576,649146
cakes,5565500,806770
mixer,5558245,726514
sbjct,5554566,497291
tooth,5551049,393773
stays,5547528,594980
drove,5545848,722884
upset,5544484,735515
mines,5542234,876059
logan,5539308,764532
lance,5509634,896807
colon,5494297,576974
lanes,5489762,963041
purse,5488891,757297
align,5478643,787795
bless,5477461,622714
crest,5477034,870887
alloy,5468839,572315
plots,5466589,699872
tulsa,5463904,767362
casey,5462971,806441
draws,5458448,695545
bloom,5456938,441728
loops,5439483,544471
surge,5436623,753281
tahoe,5433564,883356
souls,5416970,553783
spank,5416004,676351
vault,5408483,625707
wires,5401677,837775
mails,5397230,809169
blake,5393654,719740
orbit,5389062,750538
niger,5388602,864278
bacon,5385205,725666
paxil,5372013,636524
spine,5370074,862552
trout,5369048,580499
apnic,5363789,762591
fatty,5363547,460306
joyce,5353720,586873
marco,5331228,762428
isaac,5321504,697589
oxide,5321340,721231
badly,5290145,542266
scoop,5272369,515251
sanyo,5265648,776919
blink,5257629,590760
carlo,5253391,814495
tiles,5251527,915937
tamil,5245277,793129
fuzzy,5241931,169284
grams,5240826,723749
forge,5226805,710192
dense,5225392,685196
brave,5221356,751743
awful,5217370,511770
meyer,5207400,561408
whore,5199489,711693
wagon,5198530,664588
knock,5196013,483086
peers,5188853,679132
quilt,5187075,566700
notre,5174371,931579
mambo,5164902,535229
flour,5162842,596292
choir,5156247,713775
blond,5155053,611468
burst,5147573,637381
wiley,5141610,663788
fibre,5134463,723809
daisy,5124326,717102
crude,5119129,706720
bored,5114852,748289
allah,5096394,430977
fares,5093799,874974
hoped,5086531,653390
safer,5085040,874974
marsh,5073104,727534
